fsn	SNOMEDCT	name
Malignant squamous cell neoplasm (morphologic abnormality)	1255006006	Malignant squamous cell neoplasm
Neoplasm of intra-abdominal organs (disorder)	126643005	Neoplasm of intra-abdominal organs
Tubulointerstitial nephritis (disorder)	428255004	Tubulointerstitial nephritis
Squamous cell neoplasm (morphologic abnormality)	118286007	Squamous cell neoplasm
Structure of true pelvis (body structure)	80266002	True pelvis
Structure of abdominal cross-sectional segment of trunk (body structure)	818981001	Cross-sectional abdomen
Pulmonary hypertension (disorder)	70995007	Pulmonary hypertension
Acute urinary tract infection (disorder)	431309003	Acute urinary tract infection
Acute inflammatory disease (disorder)	128482007	Acute inflammatory disease
Malignant hematopoietic neoplasm (morphologic abnormality)	414644002	Malignant hematopoietic neoplasm
Infectious disease of genitourinary system (disorder)	189176002	Infectious disease of genitourinary system
Lesion of bladder (disorder)	300457003	Lesion of bladder
T-cell AND/OR NK-cell neoplasm (morphologic abnormality)	415701004	T-cell AND/OR NK-cell neoplasm
Immunoproliferative morphology (morphologic abnormality)	127582006	Immunoproliferative morphology
Blood vessel structure (body structure)	59820001	Blood vessel structure
Structure of artery of trunk (body structure)	308734009	Artery of trunk
Acute nephropathy (disorder)	58574008	Acute nephropathy
Thoracic structure (body structure)	51185008	Thoracic structure
Sleep disorder (disorder)	39898005	Sleep disorder
Bacterial infectious disease (disorder)	87628006	Bacterial infectious disease
Morphologically abnormal structure (morphologic abnormality)	49755003	Morphologically abnormal structure
Structure of urinary tract proper (body structure)	431938005	Structure of urinary tract proper
Structure of thoracic segment of trunk (body structure)	67734004	Thoracic segment of trunk
Structure of thoracic great vessel (body structure)	304066000	Structure of thoracic great vessel
Liver and/or biliary structure (body structure)	303270005	Liver and/or biliary structure
Infectious disease of abdomen (disorder)	128070006	Infectious disease of abdomen
Bladder and outflow structure (body structure)	303409005	Bladder and outflow structure
Disorder of lipoprotein storage and metabolism (disorder)	238037008	Disorder of lipoprotein storage and metabolism
Malignant neoplasm (morphologic abnormality)	1240414004	Malignant neoplasm
Disorder of urinary bladder (disorder)	42643001	Disorder of bladder
Hemophilia (disorder)	90935002	Hemophilia
Malignant lymphoma (morphologic abnormality)	1163043007	Malignant lymphoma
Clinical finding (finding)	404684003	Clinical finding
Structure of organ within abdomen proper cavity (body structure)	699602007	Structure of organ within abdomen proper cavity
Structure of digestive system (body structure)	86762007	Structure of digestive system
Disorder of body system (disorder)	362965005	Disorder of body system
Head part (body structure)	123850002	Head part
Structure of skin and/or skin-associated mucous membrane (body structure)	707861009	Structure of skin and/or skin-associated mucous membrane
Factor VIII deficiency (disorder)	234440005	Factor VIII deficiency
Bacterial infection of skin (disorder)	128936008	Bacterial infection of skin
Infective dermatitis (disorder)	367338000	Infective dermatitis
Parasomnia (disorder)	58690002	Parasomnia
Structure of cavity and/or content of pelvis (body structure)	1172989009	Intra-pelvic structure of pelvis
Disorder of lipoprotein AND/OR lipid metabolism (disorder)	48286001	Disorder of lipoprotein AND/OR lipid metabolism
Structure of subregion of trunk (body structure)	420473002	Structure of subregion of trunk
Malignant neoplasm of intraabdominal organ (disorder)	448882009	Malignant neoplasm of intraabdominal organ
Neoplasm of urinary system (disorder)	126879004	Neoplasm of urinary system
Disorder of liver and/or biliary tract (disorder)	1290917001	Disorder of liver and/or biliary tract
Mature T-cell AND/OR natural killer-cell neoplasm (morphologic abnormality)	419035001	Mature T-cell AND/OR NK cell neoplasm
Structure of pelvis (body structure)	12921003	Pelvic region
Kidney disease (disorder)	90708001	Kidney disease
Lymphoid leukemia (morphologic abnormality)	1172709000	Lymphoid leukemia
Blood coagulation disorder (disorder)	64779008	Blood coagulation disorder
Epithelial neoplasm (morphologic abnormality)	118285006	Epithelial neoplasm
Structure of layer of kidney (body structure)	363529004	Structure of layer of kidney
Acute leukemia (morphologic abnormality)	24072005	Acute leukemia
Structure of genitourinary tract (body structure)	699881004	Structure of genitourinary tract
Head structure (body structure)	69536005	Head structure
Inflammatory disorder of digestive system (disorder)	373407002	Inflammatory disorder of digestive system
Disorder of pelvic region of trunk (disorder)	609619005	Disorder of pelvic region of trunk
Renal tubular disorder (disorder)	95568003	Renal tubular disorder
Lower body part structure (body structure)	69548008	Lower body part structure
Structure of abdominopelvic cavity and/or content of abdominopelvic cavity and/or anterior abdominal wall (body structure)	818983003	Abdomen
Arterial system structure (body structure)	11527006	Arterial system structure
Acute genitourinary disorder (disorder)	175176000	Acute genitourinary disorder
Coagulation factor deficiency syndrome (disorder)	86075001	Coagulation factor deficiency syndrome
Nephron structure (body structure)	54018001	Nephron structure
Disorder of the urinary system (disorder)	128606002	Disorder of the urinary system
Neoplasm and/or hamartoma (morphologic abnormality)	400177003	Neoplasm and/or hamartoma
Malignant neoplasm of genitourinary organ (disorder)	271468000	Malignant neoplasm of genitourinary organ
Scleroderma (disorder)	267874003	Scleroderma
Narcolepsy (disorder)	60380001	Narcolepsy
Entire subdivision of organ system (body structure)	91690000	Entire subdivision of organ system
Structure of pelvic cross-sectional segment of trunk (body structure)	816092008	Cross-sectional pelvis
Serum cholesterol above reference range (finding)	166830008	Serum cholesterol above reference range
Structure of anatomical cluster (body structure)	699589007	Structure of anatomical cluster
High body weight (finding)	840358001	High body weight
Bacterial pyoderma (disorder)	402939001	Bacterial pyoderma
Inflammatory disease of liver (disorder)	128241005	Inflammatory disease of liver
Structure of head and/or neck (body structure)	774007	Structure of head and/or neck
Acute pyelonephritis caused by bacterium (disorder)	838353009	Acute pyelonephritis caused by bacterium
Non-Hodgkin lymphoma (morphologic abnormality)	1172592001	Non-Hodgkin lymphoma
Upper body part structure (body structure)	70104002	Upper body part structure
Structure of blood vessel of thoracic cross-sectional segment of trunk (body structure)	846601002	Structure of blood vessel of thoracic cross-sectional segment of trunk
Obese (finding)	414915002	Obese
Structure of artery of thoracic cross-sectional segment of trunk (body structure)	846651007	Structure of artery of thoracic cross-sectional segment of trunk
Immunoproliferative neoplasm (morphologic abnormality)	414467006	Immunoproliferative neoplasm
Structure of organ within cavity of true pelvis (body structure)	818972007	Structure of organ within cavity of true pelvis
Disorder of pelvis (disorder)	609620004	Disorder of pelvis
Structure of genitourinary system (body structure)	21514008	Structure of genitourinary system
Eczema (disorder)	43116000	Eczema
Structure of interstitial tissue (body structure)	85293002	Interstitial tissue
B-cell neoplasm (morphologic abnormality)	413616009	B-cell neoplasm
Hereditary coagulation factor deficiency (disorder)	16922007	Hereditary coagulation factor deficiency
Pyelonephritis (disorder)	45816000	Pyelonephritis
Inflammatory disorder (disorder)	128139000	Inflammatory disorder
Proliferation (morphologic abnormality)	30217000	Proliferation
Structure of upper urinary system (body structure)	304582006	Structure of upper urinary system
Inflammation of specific body organs (disorder)	363169009	Inflammation of specific body organs
Pyogenic infection of skin and subcutaneous tissues caused by bacterium (disorder)	721267000	Pyogenic infection of skin and subcutaneous tissues caused by bacterium
Neoplasm of trunk (disorder)	126637008	Neoplasm of trunk
Malignant tumor of urinary tract proper (disorder)	363517008	Malignant tumor of urinary tract proper
Disorder of blood vessel (disorder)	27550009	Vascular disorder
Mass (morphologic abnormality)	4147007	Mass
Upper genitourinary tract structure (body structure)	45308003	Upper genitourinary tract structure
Structure of pelvic segment of trunk (body structure)	609617007	Structure of pelvic segment of trunk
X-linked hereditary disease (disorder)	128430005	X-linked hereditary disease
Kidney part (body structure)	119219003	Kidney part
Disease (disorder)	64572001	Disease
Pulmonary artery finding (finding)	251039005	Pulmonary artery finding
Regional blood vessel structure (body structure)	306954006	Regional blood vessel structure
Structure of intrathoracic blood vessel (body structure)	304062003	Structure of intrathoracic blood vessel
Structure of thoracic cavity and/or content (body structure)	699593001	Structure of thoracic cavity and/or content
Disorder of soft tissue of trunk (disorder)	280133005	Disorder of soft tissue of trunk
Primary hypersomnia (disorder)	36124002	Primary hypersomnia
Disorder of trunk (disorder)	128121009	Disorder of trunk
Disorder of liver (disorder)	235856003	Disease of liver
Lymphoid neoplasm (morphologic abnormality)	414628006	Lymphoid neoplasm
Structure of organ parenchyma (body structure)	91772007	Organ parenchyma
Upper body structure (body structure)	128262006	Upper body structure
Anatomical or acquired body structure (body structure)	442083009	Anatomical or acquired body structure
Acute infectious disease (disorder)	63171007	Acute infectious disease
Disorder of skin (disorder)	95320005	Disorder of skin
Acute disease (disorder)	2704003	Acute disease
Skin and/or subcutaneous tissue structure (body structure)	127856007	Skin and/or subcutaneous tissue structure
Body part structure (body structure)	38866009	Body part structure
Structure of urinary organ (body structure)	714321003	Structure of urinary organ
Neoplastic disease (disorder)	55342001	Neoplastic disease
Neoplasm of urinary tract proper (disorder)	254913005	Neoplasm of urinary tract proper
Dyssomnia (disorder)	44186003	Dyssomnia
Non-alcoholic fatty liver disease (disorder)	1231824009	Non-alcoholic fatty liver disease
Disorder of integument (disorder)	128598002	Disorder of integument
Structure of pelvic cross-sectional segment of trunk and/or lower limb (body structure)	1231522001	Cross-sectional pelvis and/or lower limb
Structure of artery of thorax (body structure)	118633002	Artery of thorax
Autoimmune disease (disorder)	85828009	Autoimmune disease
Systemic disease (disorder)	56019007	Systemic disease
Infection of skin and mucous membrane caused by human papillomavirus (disorder)	721266009	Infection of skin and mucous membrane caused by human papillomavirus
Neoplasm and/or hamartoma (disorder)	399981008	Neoplasm and/or hamartoma
Vascular headache (disorder)	128187005	Vascular headache
Disorder of connective tissue (disorder)	105969002	Disorder of connective tissue
B-cell lymphoma morphology (morphologic abnormality)	314922006	B-cell lymphoma morphology
Disorder of digestive system (disorder)	53619000	Disorder of digestive system
Steatosis (disorder)	1187537008	Steatosis
Disorder of soft tissue (disorder)	19660004	Disorder of soft tissue
Disorder of renal parenchyma (disorder)	767094002	Disorder of renal parenchyma
Trunk structure (body structure)	22943007	Trunk structure
Disorder of digestive organ (disorder)	76712006	Disorder of digestive organ
Inflammation of specific body systems (disorder)	363171009	Inflammation of specific body systems
Neck and/or chest and/or abdomen structure (body structure)	416152001	Neck, chest and abdomen
Structure of integumentary system (body structure)	48075008	Structure of integumentary system
Infectious disease (disorder)	40733004	Infectious disease
Systemic circulatory system structure (body structure)	51840005	Systemic circulatory system structure
Infection - suppurative (disorder)	255320000	Infection - suppurative
Acute tubulointerstitial nephritis (disorder)	28637003	Acute tubulointerstitial nephritis
Malignant neoplasm of urinary organ (disorder)	448233000	Malignant neoplasm of urinary organ
Lymphoproliferative disorder (morphologic abnormality)	414629003	Lymphoproliferative disorder
Nephritis (disorder)	52845002	Nephritis
Malignant tumor of pelvis (disorder)	363484005	Malignant tumor of pelvis
Disorder of urinary tract proper (disorder)	41368006	Disorder of urinary tract
Disorder of head (disorder)	118934005	Disorder of head
Cardiovascular structure of trunk (body structure)	281233007	Cardiovascular structure of trunk
Lower genitourinary tract structure (body structure)	59183004	Lower genitourinary tract structure
Body organ structure (body structure)	113343008	Body organ structure
Acute infectious tubulointerstitial nephritis (disorder)	66993009	Acute infectious tubulointerstitial nephritis
Structure of abdominopelvic cross-sectional segment of trunk (body structure)	818982008	Abdominopelvic cross-sectional segment
Structure of viscus (body structure)	362937008	Structure of viscus
Bacterial nephritis (disorder)	42231000009109	Bacterial nephritis
Disease caused by Papillomaviridae (disorder)	407458009	Disease caused by Papillomaviridae
Growth alteration (morphologic abnormality)	57697001	Growth alteration
Pulmonary structure including vessels and lymphoid tissue (body structure)	363536003	Pulmonary structure including vessels and lymphoid tissue
Steatosis of liver (disorder)	197321007	Steatosis of liver
Degenerative disorder (disorder)	362975008	Degenerative disorder
Upper urinary tract infection (disorder)	422747000	Upper urinary tract infection
Neoplasm of pelvis (disorder)	126644004	Neoplasm of pelvis
Skin part (body structure)	119181002	Skin part
Intra-abdominal digestive structure (body structure)	281501002	Intra-abdominal digestive structure
Disorder of abdominopelvic segment of trunk (disorder)	822988000	Disorder of abdominopelvic segment of trunk
Structure of cavity and/or content of true pelvis (body structure)	826984001	Intra-pelvic structure of true pelvis
Cardiopulmonary circulatory system structure (body structure)	480000	Cardiopulmonary circulatory system structure
Soft tissue infection (disorder)	95880003	Soft tissue infection
Infection of skin and/or subcutaneous tissue (disorder)	19824006	Infection of skin and/or subcutaneous tissue
Family Sclerodermataceae (organism)	422590001	Sclerodermataceae
Structure of pulmonary blood vessel (body structure)	281158006	Structure of pulmonary blood vessel
Malignant neoplastic disease (disorder)	363346000	Malignant neoplastic disease
Disorder of kidney and/or ureter (disorder)	443820000	Disorder of kidney and/or ureter
Inflammation of skin and/or subcutaneous tissue (disorder)	363168001	Inflammation of skin and/or subcutaneous tissue
Bacterial urinary infection (disorder)	312124009	Bacterial urinary infection
Hidradenitis (disorder)	69741000	Hidradenitis
Disorder of blood vessels of thorax (disorder)	373434004	Disorder of blood vessels of thorax
Structure of organ within abdominopelvic cavity (body structure)	818993005	Organ within abdominopelvic cavity
Structure of abdominopelvic cavity and/or intra-abdominopelvic content and/or anterior abdominal wall excluding intra-pelvic structure of true pelvis (body structure)	818984009	Abdomen proper
Malignant tumor of urinary system (disorder)	419052002	Malignant tumor of urinary system
Disorder of the lower urinary tract (disorder)	7793005	Disorder of the lower urinary tract
Disorder of abdomen (disorder)	118948005	Disorder of abdomen
Structure of cortical lobule of kidney (body structure)	74861003	Structure of cortical lobule of kidney
Precapillary pulmonary hypertension (disorder)	697896007	Precapillary pulmonary hypertension
Structure of skin and/or mucous membrane (body structure)	707862002	Structure of skin and/or mucous membrane
Proliferation of hematopoietic cell type (morphologic abnormality)	415181008	Proliferation of hematopoietic cell type
Leukemia (morphologic abnormality)	1162768007	Leukemia
Kidney structure (body structure)	64033007	Kidney structure
Neoplasm of abdomen (disorder)	128050000	Neoplasm of abdomen
Arterial structure (body structure)	51114001	Arterial structure
Malignant epithelial neoplasm (morphologic abnormality)	1187225007	Malignant epithelial neoplasm
Human papillomavirus infection (disorder)	240532009	Human papilloma virus infection
Structure of soft tissue of abdomen (body structure)	818997006	Soft tissue of abdomen
Disorder of pulmonary circulation (disorder)	39785005	Disorder of pulmonary circulation
Structure of soft tissue (body structure)	87784001	Soft tissue
Disorder of immune function (disorder)	414029004	Disorder of immune function
Hematopoietic neoplasm (morphologic abnormality)	414388001	Hematopoietic neoplasm
Skin structure (body structure)	39937001	Skin structure
Collagen disease (disorder)	81573002	Collagen disease
Urinary tract infectious disease (disorder)	68566005	Urinary tract infectious disease
Structure of artery of pulmonary circulation (body structure)	782966009	Structure of artery of pulmonary circulation
Connective tissue structure (body structure)	21793004	Connective tissue structure
Autoimmune connective tissue disorder (disorder)	362992004	Autoimmune connective tissue disorder
Structure of cardiovascular system (body structure)	113257007	Structure of cardiovascular system
Genetic disease (disorder)	782964007	Genetic disease
Integumentary system part (body structure)	396328009	Integumentary system part
Structure of skin region (body structure)	20795001	Structure of skin region
Regional cardiovascular structure (body structure)	281827007	Regional cardiovascular structure
Viral disease (disorder)	34014006	Viral disease
Acute pyelonephritis (disorder)	36689008	Acute pyelonephritis
Pyoderma (disorder)	70759006	Pyoderma
Disorder of hemostatic system (disorder)	362970003	Disorder of hemostatic system
Structure of soft tissues of trunk (body structure)	1490004	Structure of soft tissues of trunk
Structure of thoracic cross-sectional segment of trunk (body structure)	816094009	Cross-sectional thorax
Steatohepatitis (disorder)	442191002	Steatohepatitis
Body system structure (body structure)	91689009	Body system structure
